,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
126,frisbee,fly,0.034,0.033,-0.057,-0.009,0.032,0.077,0.023,0.073,0.031,0.078
127,frisbee,Average,0.033,-0.001,-0.0415,0.0185,0.0045,0.0355,0.032,0.0095,0.007,0.072
128,skis,,0,0,0,0,0,0,0,0,0,0
129,skis,Average,0,0,0,0,0,0,0,0,0,0
130,snowboard,,0,0,0,0,0,0,0,0,0,0
131,snowboard,Average,0,0,0,0,0,0,0,0,0,0
132,sports_ball,bounce,-0.045,0.106,0.119,-0.011,-0.028,-0.017,0.038,-0.041,0.102,0.182
133,sports_ball,roll_down_hill,-0.066,0.087,-0.046,-0.019,-0.024,-0.053,0.057,-0.033,0.071,0.007
134,sports_ball,roll,0.018,-0.026,-0.106,-0.01,-0.037,-0.031,0.227,0.038,0.1,0.154
135,sports_ball,roll_under_a_table,-0.066,0.087,-0.046,-0.019,-0.024,-0.053,0.057,-0.033,0.071,0.007
136,sports_ball,break_a_window,-0.032,0.391,-0.004,-0.022,0.018,0.005,-0.021,0.016,0.185,0.085
137,sports_ball,Average,-0.0382,0.129,-0.0166,-0.0162,-0.019,-0.0298,0.0716,-0.0106,0.1058,0.087
138,kite,fly,0.034,0.033,-0.057,-0.009,0.032,0.077,0.023,0.073,0.031,0.078
139,kite,catch_the_wind,-0.011,-0.065,0.008,-0.029,0.055,0.045,-0.046,-0.024,0.002,0.003
140,kite,Average,0.0115,-0.016,-0.0245,-0.019,0.0435,0.061,-0.0115,0.0245,0.0165,0.0405
141,baseball_glove,,0,0,0,0,0,0,0,0,0,0
142,baseball_glove,Average,0,0,0,0,0,0,0,0,0,0
143,skateboard,be_streaming_down_a_sidewalk,-0.054,0.07,-0.035,0.029,-0.064,-0.06,-0.038,-0.038,0.122,-0.016
144,skateboard,Average,-0.054,0.07,-0.035,0.029,-0.064,-0.06,-0.038,-0.038,0.122,-0.016
145,surfboard,,0,0,0,0,0,0,0,0,0,0
146,surfboard,Average,0,0,0,0,0,0,0,0,0,0
147,wine_glass,bell_out,-0.079,-0.013,0.017,-0.097,-0.034,0.098,-0.002,0.019,0.01,-0.089
148,wine_glass,Average,-0.079,-0.013,0.017,-0.097,-0.034,0.098,-0.002,0.019,0.01,-0.089
149,banana,,0,0,0,0,0,0,0,0,0,0
150,banana,Average,0,0,0,0,0,0,0,0,0,0
151,sandwich,,0,0,0,0,0,0,0,0,0,0
152,sandwich,Average,0,0,0,0,0,0,0,0,0,0
153,orange,taste_sour,0.016,-0.048,0.062,0.055,0.007,0.019,0.037,0.107,-0.09,-0.022
154,orange,mean_a_fruit_or_a_color,0.03,0.031,-0.001,0.069,-0.031,0.02,0.058,-0.047,0.004,0.078
155,orange,Average,0.023,-0.0085,0.0305,0.062,-0.012,0.0195,0.0475,0.03,-0.043,0.028
156,broccoli,,0,0,0,0,0,0,0,0,0,0
157,broccoli,Average,0,0,0,0,0,0,0,0,0,0
158,carrot,,0,0,0,0,0,0,0,0,0,0
159,carrot,Average,0,0,0,0,0,0,0,0,0,0
160,hot_dog,,0,0,0,0,0,0,0,0,0,0
161,hot_dog,Average,0,0,0,0,0,0,0,0,0,0
162,pizza,,0,0,0,0,0,0,0,0,0,0
163,pizza,Average,0,0,0,0,0,0,0,0,0,0
164,donut,,0,0,0,0,0,0,0,0,0,0
165,donut,Average,0,0,0,0,0,0,0,0,0,0
166,cake,dry_out,-0.104,0.035,0.121,0.134,-0.023,-0.014,-0.026,0.069,0.127,-0.002
167,cake,rise_thanks_to_the_yeast,-0.007,0.013,-0.07,0.007,0.014,0.013,-0.051,-0.101,0.138,-0.009
168,cake,look_good_enough_to_eat,-0.033,-0.019,0.049,0.04,0.094,-0.042,-0.028,-0.003,0.205,-0.021
169,cake,finish_soon,-0.081,0.031,-0.02,-0.016,-0.027,0.018,-0.138,-0.012,-0.001,0
170,cake,Average,-0.05625,0.015,0.02,0.04125,0.0145,-0.00625,-0.06075,-0.01175,0.11725,-0.008
171,couch,be_in_the_living_room,-0.064,-0.082,0.055,-0.023,0.123,-0.041,-0.042,-0.053,0.16,-0.049
172,couch,seat_many_people,0.074,-0.026,0.006,0.002,0.115,-0.102,-0.063,0.026,-0.018,-0.105
173,couch,Average,0.005,-0.054,0.0305,-0.0105,0.119,-0.0715,-0.0525,-0.0135,0.071,-0.077
174,potted_plant,,0,0,0,0,0,0,0,0,0,0
175,potted_plant,Average,0,0,0,0,0,0,0,0,0,0
176,mouse,spring_a_trap,-0.015,0.167,0.066,0.047,0.073,0.005,-0.073,0.011,0.076,0.035
177,mouse,hear_a_cat,-0.036,0.052,-0.024,0.06,0.018,0.025,-0.093,0.043,0.046,0.09
178,mouse,bell_a_cat,-0.079,-0.013,0.017,-0.097,-0.034,0.098,-0.002,0.019,0.01,-0.089
179,mouse,enter_a_mousehole,0.159,0.025,0.101,0.097,0.171,-0.05,-0.031,-0.037,0.148,-0.083
180,mouse,ring_a_bell,0.016,-0.064,-0.026,-0.122,0.08,0.068,-0.005,0.069,-0.028,-0.037
181,mouse,Average,0.009,0.0334,0.0268,-0.003,0.0616,0.0292,-0.0408,0.021,0.0504,-0.0168
182,keyboard,,0,0,0,0,0,0,0,0,0,0
183,keyboard,Average,0,0,0,0,0,0,0,0,0,0
184,oven,brown_chicken,-0.053,0.027,0.045,0.036,-0.049,0.098,-0.01,-0.003,-0.045,0.005
185,oven,warm_a_meal,0.006,0.101,0.045,0.065,-0.004,0.104,-0.018,0.035,0.045,0.047
186,oven,roast,-0.016,0.02,-0.041,-0.033,-0.074,0.46,0.127,-0.012,0.051,-0.054
187,oven,cool_its_temperature,0.032,0.049,0.043,-0.062,0.049,0.073,-0.004,0.045,0.086,0.041
188,oven,warm_a_pie,0.006,0.101,0.045,0.065,-0.004,0.104,-0.018,0.035,0.045,0.047
189,oven,Average,-0.005,0.0596,0.0274,0.0142,-0.0164,0.1678,0.0154,0.02,0.0364,0.0172
190,clock,continue_to_tick,0.078,-0.006,-0.033,-0.028,-0.005,0.01,-0.035,0.057,0.003,0.088
191,clock,time_a_race,0.033,0.143,0.047,-0.002,0.09,0.081,0.092,0.027,0.128,-0.046
192,clock,continue_ticking,0.078,-0.006,-0.033,-0.028,-0.005,0.01,-0.035,0.057,0.003,0.088
193,clock,fail_to_work,0.042,-0.029,-0.006,-0.121,0.124,-0.004,0.005,0.05,-0.039,-0.048
194,clock,wind_down,0.043,-0.056,0.058,0.025,0.032,-0.056,0.012,0.037,-0.055,0.022
195,clock,Average,0.0548,0.0092,0.0066,-0.0308,0.0472,0.0082,0.0078,0.0456,0.008,0.0208
196,scissors,cut_that_paper,0.006,0.051,-0.022,0.16,-0.05,0.017,0.051,0.069,0.044,-0.143
197,scissors,cut_cardboard,0.045,0.132,-0.031,0.017,0.013,-0.004,0.209,0.055,0.195,0.08
198,scissors,tear_cloth,-0.04,0.239,0.06,0.022,0.028,-0.041,0,0.07,0.034,0.076
199,scissors,part_paper,0.044,0.104,0.052,-0.013,0.052,0.055,0.235,0.005,0.174,0
200,scissors,become_blunt,0.023,0.036,0.013,0.055,0.099,0.063,-0.009,0.004,0.09,0.141
201,scissors,Average,0.0156,0.1124,0.0144,0.0482,0.0284,0.018,0.0972,0.0406,0.1074,0.0308
202,hair_drier,,0,0,0,0,0,0,0,0,0,0
203,hair_drier,Average,0,0,0,0,0,0,0,0,0,0
204,tooth_brush,rest_upon_a_desk_top,-0.032,0.066,0.015,-0.023,-0.023,-0.103,-0.012,-0.034,0.031,0.006
205,tooth_brush,Average,-0.032,0.066,0.015,-0.023,-0.023,-0.103,-0.012,-0.034,0.031,0.006
