,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
378,soap_bottle,,0,0,0,0,0,0,0,0,0,0
379,soap_bottle,Average,0,0,0,0,0,0,0,0,0,0
380,sofa,relax,-0.069,0.213,-0.04,-0.03,-0.049,0.04,0.079,0.033,0.041,0.038
381,sofa,lounging,0.047,-0.01,-0.029,-0.04,0.021,-0.027,0.018,-0.058,-0.014,0.03
382,sofa,lying_on,-0.059,0.048,-0.099,0.092,-0.001,0.037,0.055,0.1,-0.01,0.011
383,sofa,sleeping,0.036,-0.016,-0.042,-0.057,-0.013,0.039,-0.016,-0.007,-0.028,0.06
384,sofa,watching_tv,-0.059,0.025,0.009,-0.014,0.002,0.072,-0.034,-0.044,-0.052,0.037
385,sofa,Average,-0.0208,0.052,-0.0402,-0.0098,-0.008,0.0322,0.0204,0.0048,-0.0126,0.0352
386,spatula,turning_food,0.025,0.06,-0.067,0.027,0.002,0.041,0.017,0,0.03,0.046
387,spatula,Average,0.025,0.06,-0.067,0.027,0.002,0.041,0.017,0,0.03,0.046
388,spoon,Eating,0,0,0,0,0,0,0,0,0,0
389,spoon,stirring_coffee,-0.035,0.026,0.051,-0.06,-0.029,0.117,0.025,0.039,0.047,0.128
390,spoon,eating_ice_cream,0.005,0.062,-0.053,0.004,0.106,0.049,0.01,-0.043,0.051,0.031
391,spoon,eating_cereal,0.005,0.062,-0.053,0.004,0.106,0.049,0.01,-0.043,0.051,0.031
392,spoon,scooping_food,-0.053,0.049,0.069,0.048,-0.04,-0.027,0.088,0.059,0.233,0.009
393,spoon,Average,-0.0156,0.0398,0.0028,-0.0008,0.0286,0.0376,0.0266,0.0024,0.0764,0.0398
394,spray_bottle,,0,0,0,0,0,0,0,0,0,0
395,spray_bottle,Average,0,0,0,0,0,0,0,0,0,0
396,statue,accent_your_garden,0.052,-0.082,-0.045,-0.066,-0.039,-0.066,0.013,-0.065,0.073,0.068
397,statue,symbolize_something,0.057,-0.009,0.008,0.113,-0.017,-0.023,0.067,0.011,-0.04,0.005
398,statue,honour_someone,0.028,-0.038,0.026,-0.051,-0.056,-0.022,0.093,-0.046,0.007,-0.042
399,statue,decorate_your_lawn,0.037,0.038,0.009,0.026,0.07,0.069,-0.001,0.051,-0.033,0.048
400,statue,honoring_a_person,0.021,0.018,0.014,0.057,-0.053,-0.049,-0.044,-0.018,0.083,-0.068
401,statue,Average,0.039,-0.0146,0.0024,0.0158,-0.019,-0.0182,0.0256,-0.0134,0.018,0.0022
402,stool,Resting,0,0,0,0,0,0,0,0,0,0
403,stool,reaching_high_places,-0.02,0.09,-0.041,0.017,-0.015,-0.046,-0.031,0.04,0.079,0.081
404,stool,milking,-0.041,0.08,0.028,0.023,-0.014,-0.039,-0.08,-0.029,-0.009,0.065
405,stool,climbing,0.018,0.042,-0.058,-0.022,-0.012,-0.004,-0.023,-0.011,0.015,0.087
406,stool,tying_shoes,0.017,0.017,0.022,-0.043,0.078,0.006,-0.066,0.08,0.005,-0.08
407,stool,Average,-0.0052,0.0458,-0.0098,-0.005,0.0074,-0.0166,-0.04,0.016,0.018,0.0306
408,stove_burner,,0,0,0,0,0,0,0,0,0,0
409,stove_burner,Average,0,0,0,0,0,0,0,0,0,0
410,stove_knob,,0,0,0,0,0,0,0,0,0,0
411,stove_knob,Average,0,0,0,0,0,0,0,0,0,0
412,table_top_decor,,0,0,0,0,0,0,0,0,0,0
413,table_top_decor,Average,0,0,0,0,0,0,0,0,0,0
414,target_circle,,0,0,0,0,0,0,0,0,0,0
415,target_circle,Average,0,0,0,0,0,0,0,0,0,0
416,teddy_bear,cuddling,0.019,0.027,-0.091,-0.016,-0.056,0.02,-0.076,-0.032,-0.02,0.023
