,Unnamed: 0,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
238,238,sofa,Average,0,0,0,0,0,0,0,0,0,0
240,240,spatula,Average,0,0,0,0,0,0,0,0,0,0
244,244,spoon,Average,-0.001333333,-0.004,0.013666667,0.074666667,0.034333333,0.022666667,-0.029666667,-0.024,0.176666667,0.014333333
246,246,spray_bottle,Average,0,0,0,0,0,0,0,0,0,0
248,248,statue,Average,0.047,0.086,0.089,0.002,0.081,0.042,-0.088,-0.025,0.139,0.123
250,250,stool,Average,0,0,0,0,0,0,0,0,0,0
252,252,stove_burner,Average,0.016,-0.016,0.064,-0.023,-0.017,0.023,-0.007,-0.097,-0.001,-0.013
254,254,stove_knob,Average,0,0,0,0,0,0,0,0,0,0
256,256,table_top_decor,Average,0,0,0,0,0,0,0,0,0,0
258,258,target_circle,Average,0,0,0,0,0,0,0,0,0,0
260,260,teddy_bear,Average,0,0,0,0,0,0,0,0,0,0
265,265,television,Average,0.0135,0.0135,0.022,0.028,0.0685,-0.025,-0.05625,-0.0025,0.212,0.01375
267,267,tennis_racket,Average,0,0,0,0,0,0,0,0,0,0
269,269,tissue_box,Average,0,0,0,0,0,0,0,0,0,0
272,272,toaster,Average,-0.0295,0.051,-0.018,0.0105,-0.0025,0.0125,0.0185,0.0585,0.0245,-0.081
276,276,toilet,Average,-0.052333333,0.010333333,0.041333333,0.038333333,0.009,-0.035333333,-0.008,-0.006,0.064333333,0.015
278,278,toilet_paper,Average,0,0,0,0,0,0,0,0,0,0
280,280,toilet_paper_hanger,Average,0,0,0,0,0,0,0,0,0,0
282,282,tomato,Average,0,0,0,0,0,0,0,0,0,0
288,288,towel,Average,-0.1064,0.0722,0.1026,0.1104,-0.0272,-0.0162,-0.025,0.069,0.1072,-0.0142
290,290,towel_holder,Average,0,0,0,0,0,0,0,0,0,0
292,292,tv_stand,Average,0,0,0,0,0,0,0,0,0,0
294,294,vacuum_cleaner,Average,-0.009,0.17,0.07,0.047,0.043,0.064,0.109,-0.008,0.076,-0.052
297,297,vase,Average,0.0515,0.0265,0.005,0.0645,-0.004,-0.0175,-0.0575,-0.0235,0.194,0.0545
303,303,watch,Average,0.0256,0.0742,0.0292,-0.0104,0.073,0.0378,0.0512,0.0234,0.1232,-0.0236
305,305,watering_can,Average,0,0,0,0,0,0,0,0,0,0
311,311,window,Average,0.019,0.075,0.0262,-0.0002,0.0782,-0.0224,-0.0204,0.0378,0.1566,0.0082
313,313,wine_bottle,Average,0,0,0,0,0,0,0,0,0,0
5,5,person,Average,0.0522,-0.0056,-0.0064,-0.039,0.031,0.0014,-0.0418,-0.0042,0.0444,-0.0176
11,11,bicycle,Average,-0.0086,0.0386,0.0158,-0.0046,0.055,0.0054,0.0194,-0.0064,0.0838,0.0236
17,17,car,Average,-0.0144,0.0638,-0.0322,0.003,0.0742,-0.0186,0.025,0.01,0.12,0.0102
19,19,motorcycle,Average,0.078,0.059,-0.028,0,0.067,-0.051,0.061,-0.022,0.168,-0.005
25,25,airplane,Average,-0.0538,0.025,0.0558,0.001,0.0694,0.0208,-0.0322,-0.0482,0.0394,-0.0212
31,31,bus,Average,-0.0144,0.046,-0.0282,0.029,0.0616,0.0458,0.0336,0.0454,0.1882,0.0556
37,37,train,Average,-0.053,0.0038,0.0074,0.0076,0.0256,0.0018,-0.0098,0.0154,0.172,0.0038
43,43,truck,Average,0.0232,0.0256,0.0036,-0.0102,0.2362,0.0466,-0.0048,0.0396,0.175,0.0028
49,49,boat,Average,0.0038,-0.023,0.0222,0.035,0.0292,-0.0258,-0.0218,-0.012,0.104,0.0134
51,51,traffic_light,Average,-0.05,0.13,-0.016,-0.029,0.071,0.02,0.106,0.022,0.093,0.068
53,53,fire_hydrant,Average,0,0,0,0,0,0,0,0,0,0
55,55,stop_sign,Average,0,0,0,0,0,0,0,0,0,0
57,57,parking_meter,Average,0,0,0,0,0,0,0,0,0,0
59,59,bench,Average,0,0,0,0,0,0,0,0,0,0
65,65,bird,Average,0.0084,0.0342,-0.0066,0.0324,0.0524,0.0322,-0.0316,0.0452,0.0538,0.0332
71,71,cat,Average,0.0398,-0.0532,-0.005,-0.0066,0.051,-0.0096,-0.0282,-0.027,0.0836,0.0148
77,77,dog,Average,0.0266,-0.0264,0.0374,0.019,0.0582,0.0416,-0.0188,0.0364,0.0408,-0.0072
83,83,horse,Average,0.0536,0.0576,-0.002,6.94E-19,0.0442,-0.0262,0.0164,0.0004,0.1758,-0.019
87,87,sheep,Average,-0.001333333,0.021,0.077,-0.025,0.040666667,0.012,0.054333333,-0.030333333,0.012666667,0.031666667
93,93,cow,Average,-0.014,0.0574,-0.0072,0.0216,0.0374,0.0108,0.0166,-0.002,0.1294,-0.0072
99,99,elephant,Average,-0.0058,-0.0256,-0.0098,0.0324,0.0888,0.0126,-0.0184,-0.0042,0.1118,-0.018
105,105,bear,Average,0.028,-0.0112,-0.0046,0.0012,0.009,0.025,0.0088,0.0134,0.0726,-0.0016
107,107,zebra,Average,0,0,0,0,0,0,0,0,0,0
109,109,giraffe,Average,0.045,-0.049,0.036,-0.038,0.067,0.004,0.01,-0.026,0.041,-0.025
112,112,backpack,Average,0.0015,0.02,-0.0825,0.0105,0.0755,0.0345,-0.0125,0.015,0.2165,0.024
118,118,umbrella,Average,-0.0078,0.0122,-0.0318,0.0068,0.0292,0.0156,-0.004,-0.0482,0.1394,-0.1002
120,120,handbag,Average,0,0,0,0,0,0,0,0,0,0
122,122,tie,Average,0,0,0,0,0,0,0,0,0,0
124,124,suitcase,Average,0,0,0,0,0,0,0,0,0,0
127,127,frisbee,Average,0.033,-0.001,-0.0415,0.0185,0.0045,0.0355,0.032,0.0095,0.007,0.072
129,129,skis,Average,0,0,0,0,0,0,0,0,0,0
131,131,snowboard,Average,0,0,0,0,0,0,0,0,0,0
137,137,sports_ball,Average,-0.0382,0.129,-0.0166,-0.0162,-0.019,-0.0298,0.0716,-0.0106,0.1058,0.087
140,140,kite,Average,0.0115,-0.016,-0.0245,-0.019,0.0435,0.061,-0.0115,0.0245,0.0165,0.0405
142,142,baseball_glove,Average,0,0,0,0,0,0,0,0,0,0
144,144,skateboard,Average,-0.054,0.07,-0.035,0.029,-0.064,-0.06,-0.038,-0.038,0.122,-0.016
146,146,surfboard,Average,0,0,0,0,0,0,0,0,0,0
148,148,wine_glass,Average,-0.079,-0.013,0.017,-0.097,-0.034,0.098,-0.002,0.019,0.01,-0.089
150,150,banana,Average,0,0,0,0,0,0,0,0,0,0
152,152,sandwich,Average,0,0,0,0,0,0,0,0,0,0
155,155,orange,Average,0.023,-0.0085,0.0305,0.062,-0.012,0.0195,0.0475,0.03,-0.043,0.028
157,157,broccoli,Average,0,0,0,0,0,0,0,0,0,0
159,159,carrot,Average,0,0,0,0,0,0,0,0,0,0
161,161,hot_dog,Average,0,0,0,0,0,0,0,0,0,0
163,163,pizza,Average,0,0,0,0,0,0,0,0,0,0
165,165,donut,Average,0,0,0,0,0,0,0,0,0,0
170,170,cake,Average,-0.05625,0.015,0.02,0.04125,0.0145,-0.00625,-0.06075,-0.01175,0.11725,-0.008
173,173,couch,Average,0.005,-0.054,0.0305,-0.0105,0.119,-0.0715,-0.0525,-0.0135,0.071,-0.077
175,175,potted_plant,Average,0,0,0,0,0,0,0,0,0,0
181,181,mouse,Average,0.009,0.0334,0.0268,-0.003,0.0616,0.0292,-0.0408,0.021,0.0504,-0.0168
183,183,keyboard,Average,0,0,0,0,0,0,0,0,0,0
189,189,oven,Average,-0.005,0.0596,0.0274,0.0142,-0.0164,0.1678,0.0154,0.02,0.0364,0.0172
195,195,clock,Average,0.0548,0.0092,0.0066,-0.0308,0.0472,0.0082,0.0078,0.0456,0.008,0.0208
201,201,scissors,Average,0.0156,0.1124,0.0144,0.0482,0.0284,0.018,0.0972,0.0406,0.1074,0.0308
203,203,hair_drier,Average,0,0,0,0,0,0,0,0,0,0
205,205,tooth_brush,Average,-0.032,0.066,0.015,-0.023,-0.023,-0.103,-0.012,-0.034,0.031,0.006
,,refrigerator,Average,0.0224,-0.001,0.0428,-0.0004,0.0706,0.0156,-0.0196,0.0518,0.1058,0.043
,,remote,Average,0.354,-0.042,0.007,-0.015,0.228,0.172,-0.046,0.065,0.072,-0.063
,,tv,Average,0.1558,-1.39E-18,0.0022,0.0132,0.1272,0.0302,-0.0392,0.0436,0.0622,0.0336
